,Latitude,Longitude,Number,Street,City,State,County,Zip,url
323,34.702987,-118.236523,45150,60th St W,Lancaster,CA,Los Angeles County,93536,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20430
222,37.675726,-121.753084,3663,Pacific Ave,Livermore,CA,Alameda County,94550,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8161
220,37.693112,-121.778976,1660,Portola Ave,Livermore,CA,Alameda County,94551,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8040
223,37.687628,-121.785777,851,Rincon Ave,Livermore,CA,Alameda County,94551,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10300
305,34.645254,-120.427756,2025,Sweeney Rd,Lompoc,CA,Santa Barbara County,93436,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7212
159,33.767169,-118.187287,401,E Ocean Blvd,Long Beach,CA,Los Angeles County,90802,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10357
152,33.784473,-118.1933,1430,Pacific Ave,Long Beach,CA,Los Angeles County,90813,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14672
154,33.783389,-118.194128,1335,Pacific Ave,Long Beach,CA,Los Angeles County,90813,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10485
156,33.781842,-118.192176,1230,Pine Ave,Long Beach,CA,Los Angeles County,90813,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15872
157,33.782005,-118.209021,1301,W 12th St N,Long Beach,CA,Los Angeles County,90813,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11240
149,33.803977,-118.06965,10911,Reagan St,Los Alamitos,CA,Orange County,90720,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7237
129,34.103333,-118.314582,1754,Taft Ave,Los Angeles,CA,Los Angeles County,90028,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9811
122,34.0223,-118.27511,3107,S Grand Ave,Los Angeles,CA,Los Angeles County,90007,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13788
124,34.025696,-118.285121,3175,S Hoover St,Los Angeles,CA,Los Angeles County,90007,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11758
131,34.01071,-118.32385,2814,W Martin Luther King Jr Blvd,Los Angeles,CA,Los Angeles County,90008,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13814
138,34.006122,-118.338974,3761,Stocker St,View Park,CA,Los Angeles County,90008,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7663
139,34.006122,-118.338974,3761,Stocker St,View Park,CA,Los Angeles County,90008,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9801
105,34.05492,-118.23798,711,N Alameda St,Los Angeles,CA,Los Angeles County,90012,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15863
107,34.04464,-118.2434,442,S San Pedro St,Los Angeles,CA,Los Angeles County,90013,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14417
108,34.04351,-118.2431,530,E 5th St,Los Angeles,CA,Los Angeles County,90013,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10395
109,34.0449,-118.24543,303,E 5th St,Los Angeles,CA,Los Angeles County,90013,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12684
110,34.04311,-118.24486,545,S San Pedro St,Los Angeles,CA,Los Angeles County,90013,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10360
111,34.04226,-118.2455,601,S San Pedro St,Los Angeles,CA,Los Angeles County,90014,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13539
114,34.04652,-118.26411,832,W James M Wood Blvd,Los Angeles,CA,Los Angeles County,90015,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15575
112,34.03746,-118.317522,2116,Arlington Ave,Los Angeles,CA,Los Angeles County,90018,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11246
132,34.019913,-118.329164,3701,Cherrywood Ave,Los Angeles,CA,Los Angeles County,90018,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11661
10,34.0513,-118.44774,1401,S Sepulveda Blvd,Los Angeles,CA,Los Angeles County,90025,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11248
126,34.096065,-118.311933,5627,Fernwood Ave,Los Angeles,CA,Los Angeles County,90028,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11710
128,34.101863,-118.319256,5939,Hollywood Blvd,Los Angeles,CA,Los Angeles County,90028,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9715
101,34.046652,-118.223081,171,S Gless St,Los Angeles,CA,Los Angeles County,90033,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14420
140,33.979452,-118.322467,6568,5th Ave,Los Angeles,CA,Los Angeles County,90043,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15873
135,33.96021,-118.28777,823,W Manchester Ave,Los Angeles,CA,Los Angeles County,90044,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11243
115,34.06197,-118.27094,1920,W 3rd St,Los Angeles,CA,Los Angeles County,90057,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15864
118,34.06094,-118.27265,357,S Westlake Ave,Los Angeles,CA,Los Angeles County,90057,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15532
113,34.065185,-118.264669,1650,Rockwood St,Los Angeles,CA,Los Angeles County,90026,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10210
133,33.92921,-118.23095,2315,E Imperial Hwy,Los Angeles,CA,Los Angeles County,90059,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15904
9,34.054767,-118.453846,,Wilshire Blvd,Los Angeles,CA,Los Angeles County,90073,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11241
134,33.927163,-118.228587,11705,Deputy Yamamoto Pl,Lynwood,CA,Los Angeles County,90262,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11219
338,37.787138,-121.211086,555,Industrial Park Dr,Manteca,CA,San Joaquin County,95337,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20439
241,36.672544,-121.774959,3087,Wittenmyer Ct,Marina,CA,Monterey County,93933,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14340
67,37.991661,-122.088867,1815,Arnold Dr,Martinez,CA,Contra Costa County,94553,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7871
70,38.012661,-122.121016,2244,Pacheco Blvd,Martinez,CA,Contra Costa County,94553,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7928
75,37.476273,-122.169216,260,Van Buren Rd,Menlo Park,CA,San Mateo County,94025,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12136
166,33.74242,-117.988003,15161,Jackson St,Midway City,CA,Orange County,92655,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15267
330,37.633907,-120.993964,320,9th St,Modesto,CA,Stanislaus County,95350,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13794
329,37.637715,-120.972743,1400,Yosemite Blvd,Modesto,CA,Stanislaus County,95354,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10530
331,37.638467,-120.987231,201,Jennie St,Modesto,CA,Stanislaus County,95354,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10532
332,37.639526,-120.993184,618,13th St,Modesto,CA,Stanislaus County,95354,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10531
333,37.636532,-121.000256,708,H St,Modesto,CA,Stanislaus County,95354,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7339
334,37.653208,-121.041794,2301,Woodland Ave,Modesto,CA,Stanislaus County,95358,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12328
237,37.117779,-121.6425,16264,Church St,Morgan Hill,CA,Santa Clara County,95037,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7348
88,37.380185,-122.066992,813,Alice Ave,Mountain View,CA,Santa Clara County,94041,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14312
284,38.294642,-122.28696,590,Franklin St,Napa,CA,Napa County,94559,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14019
283,38.283615,-122.279587,100,Hartle Ct,Napa,CA,Napa County,94559,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14414
73,37.5341,-122.032309,6330,Thornton Ave,Newark,CA,Alameda County,94560,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14594
7,34.24755,-118.46542,9733,N Columbus Ave,North Hills,CA,Los Angeles County,91343,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15124
13,34.213355,-118.388056,7843,Lankershim Blvd,North Hollywood,CA,Los Angeles County,91605,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14416
4,34.229875,-118.534665,8740,Canby Ave,Northridge,CA,Los Angeles County,91325,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14529
5,34.230292,-118.534668,8756,Canby Ave,Northridge,CA,Los Angeles County,91325,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15852
18,37.770622,-122.210436,4700,International Blvd,Oakland,CA,Alameda County,94601,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7079
19,37.800273,-122.274945,722,Washington St,Oakland,CA,Alameda County,94607,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10547
312,33.245912,-117.309322,4700,N River Rd N,Oceanside,CA,San Diego County,92057,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14666
211,34.055491,-117.636297,904,E California St,Ontario,CA,San Bernardino County,91761,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14597
344,39.491258,-121.551397,4250,Lincoln Blvd,Oroville,CA,Butte County,95966,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14670
345,39.491258,-121.551397,4250,Lincoln Blvd,Oroville,CA,Butte County,95966,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14671
308,34.196048,-119.175212,234,E 6th St,Oxnard,CA,Ventura County,93030,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10490
307,34.203874,-119.175068,150,N Hayes Ave,Oxnard,CA,Ventura County,93030,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15576
66,37.634959,-122.491781,1809,Palmetto Ave,Pacifica,CA,San Mateo County,94044,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12145
324,33.722264,-116.381827,73,Alessandro Dr,Palm Desert,CA,Riverside County,92260,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14361
82,37.439309,-122.160987,33,Encina Ave,Palo Alto,CA,Santa Clara County,94301,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7862
84,37.427644,-122.138215,2507,Alma St,Palo Alto,CA,Santa Clara County,94301,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7349
343,39.529884,-121.284373,100,Squaw Flat Rd,Oroville,CA,Butte County,95966,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15178
100,34.158461,-118.133491,825,E Orange Grove Blvd,Pasadena,CA,Los Angeles County,91104,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10852
95,34.143125,-118.142477,154,S Euclid Ave,Pasadena,CA,Los Angeles County,91101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11226
97,34.148079,-118.145554,235,E Holly St,Pasadena,CA,Los Angeles County,91101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11227
99,34.156827,-118.151582,649,N Fair Oaks Ave,Pasadena,CA,Los Angeles County,91103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11230
103,34.168943,-118.156544,280,W Washington Blvd,Pasadena,CA,Los Angeles County,91103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11638
104,34.16959,-118.152614,1385,El Sereno Ave,Pasadena,CA,Los Angeles County,91103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15024
94,34.138665,-118.148193,412,S Raymond Ave,Pasadena,CA,Los Angeles County,91105,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11225
337,37.465975,-121.128216,405,S 4th St,Patterson,CA,Stanislaus County,95363,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14097
290,37.256566,-122.378084,620,North St,Pescadero,CA,San Mateo County,94060,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12146
291,38.226522,-122.619762,1500,Petaluma Blvd S,Petaluma,CA,Sonoma County,94952,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14424
292,38.233652,-122.623229,900,Hopper St,Petaluma,CA,Sonoma County,94952,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10282
151,33.880232,-117.868496,907,N Bradford Ave,Placentia,CA,Orange County,92870,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15264
158,34.077452,-117.752935,1753,N Park Ave,Pomona,CA,Los Angeles County,91768,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14599
359,36.07979,-119.019147,770,N Main St,Porterville,CA,Tulare County,93257,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12667
266,38.624408,-121.267252,11223,Trinity River Dr,Rancho Cordova,CA,Sacramento County,95670,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15489
216,40.186878,-122.211434,440,Antelope Blvd,Red Bluff,CA,Tehama County,96080,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15154
215,40.570026,-122.38832,2842,S Market St,Redding,CA,Shasta County,96001,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10435
279,34.061271,-117.168709,940,Stillman Ave,Redlands,CA,San Bernardino County,92374,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12528
280,34.063864,-117.181094,838,Alta St,Redlands,CA,San Bernardino County,92374,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13968
